track_name,artist_name,artist_pop,artist_genres,album,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre_score,track_pop
Befikar,Tanzeel Khan,53,"['desi pop', 'modern bollywood']",Befikar,0.7,0.502,-8.958,0.0425,0.603,0.0,0.08,0.407,129.977,204923,4,550.0,66
Open Up My Heart,Foster,35,[],Open Up My Heart,0.581,0.453,-12.462,0.0358,0.621,0.000157,0.109,0.401,115.969,178188,4,0.0,44
Best Year Yet,In Paradise,44,['indiecoustica'],Best Year Yet,0.62,0.447,-7.234,0.0271,0.397,0.0,0.165,0.293,105.169,180855,4,37.0,44
I Love You Will Still Sound The Same,Oh Honey,46,"['brooklyn indie', 'indie poptimism', 'indiecoustica', 'neo mellow', 'pop rock', 'stomp and holler']",With Love - EP,0.607,0.737,-5.714,0.0309,0.0348,0.0,0.119,0.702,113.96,207123,4,290.0,59
Make You Mine,PUBLIC,60,['indie rockism'],Make You Mine,0.606,0.799,-4.452,0.0261,0.0128,0.0,0.15,0.638,103.014,232907,4,2.0,77
Zehnaseeb,Vishal-Shekhar,71,"['desi pop', 'filmi', 'modern bollywood']",Hasee Toh Phasee (Original Motion Picture Soundtrack),0.623,0.595,-6.342,0.0331,0.361,0.000136,0.353,0.418,78.029,217440,4,751.0,61
"Besabriyaan (From ""M.S.Dhoni - The Untold Story"")",Armaan Malik,70,"['desi pop', 'filmi', 'modern bollywood']",2016 Shinning Star - Armaan Malik,0.338,0.459,-8.827,0.027,0.533,1.33e-05,0.22,0.32,81.203,255739,4,751.0,52
Ae Dil Hai Mushkil Title Track,Pritam,82,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']",Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],0.495,0.654,-6.639,0.0679,0.713,0.0,0.165,0.35,123.896,269032,4,790.0,66
I'm Yours,Jason Mraz,71,"['acoustic pop', 'neo mellow', 'pop', 'pop rock']",We Sing. We Dance. We Steal Things.,0.703,0.444,-9.331,0.0417,0.559,0.0,0.0973,0.712,150.96,242947,4,761.0,74
Could This Be Love,The Wanted,65,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'uk pop']",Word Of Mouth (Deluxe),0.343,0.771,-4.473,0.0806,0.137,0.0,0.126,0.268,200.166,188338,4,1169.0,54
Anywhere With You Is Home,Kurt Hugo Schneider,61,"['post-teen pop', 'viral pop']",Kurt & Company Vol 5,0.764,0.534,-8.487,0.032,0.236,0.0,0.139,0.408,108.029,166111,4,158.0,47
Runnin' Home to You,Grant Gustin,39,[],The Flash (Music from the Special Episode: Duet),0.328,0.242,-9.923,0.0455,0.895,0.0,0.146,0.258,77.026,166693,4,0.0,56
this is how you fall in love,Jeremy Zucker,72,"['electropop', 'pop']",brent ii,0.441,0.202,-12.499,0.0381,0.732,2.6e-05,0.126,0.269,77.971,174587,4,632.0,75
Enna Sona,A.R. Rahman,75,"['desi pop', 'filmi', 'modern bollywood']",OK Jaanu (Original Motion Picture Soundtrack),0.717,0.416,-9.875,0.0303,0.635,1.43e-06,0.0976,0.381,100.026,213632,4,751.0,68
Never Gonna Let You Down,Colbie Caillat,67,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']",Gypsy Heart Side A,0.648,0.73,-6.135,0.0317,0.0894,0.0,0.191,0.398,107.975,248360,4,1193.0,50
Wherever You Go,A Rocket To The Moon,52,"['alternative pop rock', 'neon pop punk', 'pixie', 'pop emo', 'pop punk', 'post-teen pop']",Wild & Free (Deluxe),0.521,0.616,-6.11,0.0288,0.377,5.85e-06,0.11,0.469,169.038,200600,4,137.0,44
24K Magic,Bruno Mars,86,"['dance pop', 'pop']",24K Magic,0.818,0.803,-4.282,0.0797,0.034,0.0,0.153,0.632,106.97,225983,4,860.0,79
Therapy,Andrew Garfield,59,"['hollywood', 'pop']","tick, tick... BOOM! (Soundtrack from the Netflix Film)",0.554,0.593,-5.492,0.215,0.207,0.0,0.0529,0.618,147.743,164164,3,610.0,66
Shut Up And Dance With Me,Fun Guns,46,[],Get Up And Move,0.661,0.922,-3.137,0.0346,0.00834,0.0,0.0759,0.668,128.004,204159,4,0.0,66
"Sugar, You",Oh Honey,46,"['brooklyn indie', 'indie poptimism', 'indiecoustica', 'neo mellow', 'pop rock', 'stomp and holler']",Wish You Were Here - EP,0.523,0.785,-6.847,0.0422,0.0286,1.85e-06,0.174,0.249,132.967,212062,4,290.0,55
King Of The World,Young Rising Sons,53,"['folk-pop', 'indie poptimism', 'indiecoustica', 'modern alternative rock', 'modern rock', 'pop rock', 'stomp and holler']",Young Rising Sons,0.596,0.903,-4.589,0.103,0.0537,3.57e-06,0.157,0.569,123.051,204040,4,353.0,58
Someone To You,BANNERS,65,"['indie poptimism', 'modern rock', 'pop', 'pop rock', 'uk pop']",Where The Shadow Ends,0.52,0.903,-5.497,0.042,0.00517,0.0,0.254,0.652,74.988,219801,4,937.0,78
The Lotto,Ingrid Michaelson,58,"['acoustic pop', 'ectofolk', 'indie pop', 'lilith', 'neo mellow', 'pop rock']",The Lotto,0.687,0.748,-4.54,0.0785,0.24,0.0,0.373,0.872,88.944,193695,4,247.0,60
Heaven Knows,Five For Fighting,58,"['acoustic pop', 'neo mellow', 'piano rock', 'pop rock']",Bookmarks,0.6,0.845,-7.076,0.0311,0.048,0.0,0.24,0.392,97.631,210612,4,227.0,61
Moments Like This,The Afters,51,"['ccm', 'christian alternative rock', 'christian music', 'christian rock', 'worship']",The Beginning & Everything After,0.497,0.827,-3.711,0.0475,0.0153,0.0,0.0755,0.474,86.03,241107,4,29.0,46
