track_name,artist_name,artist_pop,artist_genres,album,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_pop
Heer Ranjha (Lost Stories & somanshu Remix),Bhuvan Bam,45,"['desi pop', 'hindi indie']",Heer Ranjha (Lost Stories & somanshu Remix),0.631,0.674,-5.619,0.034,0.173,9.26e-06,0.299,0.276,104.901,181714,1,44
Mawaali Dil,Shashwat Singh,55,['indian fusion'],Mawaali Dil,0.523,0.564,-9.647,0.0386,0.414,1.84e-05,0.129,0.454,89.841,285333,4,30
Yeh Raastey,Vineet Dhingra,20,[],Yeh Raastey,0.64,0.355,-13.72,0.0381,0.705,2.36e-06,0.097,0.195,84.007,209812,4,38
Liggi,Ritviz,61,"['desi hip hop', 'desi pop', 'hindi indie', 'indian edm']",Liggi,0.786,0.667,-8.272,0.054,0.0112,0.053,0.074,0.688,102.046,181176,4,0
Thandi Hawa (Nucleya Remix),Ritviz,61,"['desi hip hop', 'desi pop', 'hindi indie', 'indian edm']",Thandi Hawa (Official Remixes),0.603,0.509,-12.607,0.0392,0.0362,0.325,0.117,0.211,97.514,199385,4,0
Kasoor,Prateek Kuhad,62,"['desi pop', 'folk-pop', 'hindi indie', 'indian singer-songwriter']",Kasoor,0.558,0.497,-7.175,0.0256,0.0285,5.36e-06,0.0799,0.444,107.047,197549,4,69
"Kudi Nu Nachne De (From ""Angrezi Medium"")",Vishal Dadlani,68,"['desi hip hop', 'desi pop', 'filmi', 'modern bollywood']","Kudi Nu Nachne De (From ""Angrezi Medium"")",0.834,0.688,-7.494,0.0653,0.175,0.0,0.174,0.876,117.949,172382,4,61
kya karoon?,Zaeden,58,"['desi pop', 'hindi indie', 'indian edm']",kya karoon?,0.723,0.561,-8.322,0.035,0.642,7.11e-06,0.228,0.616,145.02,200276,4,48
"Malang (Title Track) [From ""Malang - Unleash The Madness""]",Ved Sharma,48,['desi pop'],"Malang (Title Track) [From ""Malang - Unleash The Madness""]",0.384,0.728,-6.503,0.0623,0.329,1.85e-05,0.329,0.311,156.396,287374,4,65
Mummy,Vayu,53,[],Mummy,0.475,0.555,-7.894,0.0745,0.817,0.00281,0.2,0.308,160.142,265920,3,29
Tere Naina Yaad Aaye,Saurabh Durgesh,2,[],Dream Voyage,0.609,0.566,-11.445,0.0304,0.446,0.0357,0.118,0.539,98.009,162857,4,0
"Ek Zindagi (From ""Angrezi Medium"")",Taniskaa Sanghvi,45,[],"Ek Zindagi (From ""Angrezi Medium"")",0.688,0.609,-7.096,0.0495,0.0706,0.0,0.157,0.627,110.027,170089,4,62
Makhna,Tanishk Bagchi,75,"['desi pop', 'modern bollywood']","Makhna (From ""Drive"")",0.696,0.704,-7.876,0.0423,0.167,0.0,0.155,0.426,124.972,183000,4,71
"Humraah (From ""Malang - Unleash The Madness"")",Sachet Tandon,68,"['desi pop', 'modern bollywood']","Humraah (From ""Malang - Unleash The Madness"")",0.468,0.854,-3.932,0.059,0.176,0.0,0.126,0.277,155.867,299822,4,66
Naina Da Kya Kasoor,Amit Trivedi,66,"['desi pop', 'filmi', 'modern bollywood']",Andhadhun,0.845,0.659,-6.348,0.0373,0.159,0.0129,0.0782,0.547,125.965,210952,4,66
Baatein Karo,Vayu,53,[],Baatein Karo,0.76,0.551,-7.273,0.0273,0.85,0.000713,0.154,0.768,106.046,195309,3,55
"Lagdi Lahore Di (From ""Street Dancer 3D"")",Guru Randhawa,66,"['desi hip hop', 'desi pop', 'modern bollywood']","Lagdi Lahore Di (From ""Street Dancer 3D"")",0.786,0.797,-4.063,0.0414,0.233,0.0,0.0861,0.453,95.014,215368,4,60
Dil Na Jaaneya,Rochak Kohli,67,"['desi pop', 'modern bollywood']","Dil Na Jaaneya (From ""Good Newwz"")",0.791,0.348,-9.457,0.0434,0.594,1.45e-06,0.097,0.49,131.972,231136,4,63
Kya Karoon?,Shankar-Ehsaan-Loy,65,"['desi pop', 'filmi', 'modern bollywood']",Wake Up Sid (Original Motion Picture Soundtrack),0.594,0.548,-7.588,0.0267,0.611,0.00146,0.117,0.374,98.014,236160,4,54
Yaad Piya Ki Aane Lagi,Neha Kakkar,72,"['desi pop', 'filmi', 'modern bollywood']",Yaad Piya Ki Aane Lagi,0.858,0.833,-3.747,0.0471,0.375,0.0,0.112,0.693,107.977,256678,4,63
La La La,Neha Kakkar,72,"['desi pop', 'filmi', 'modern bollywood']",La La La,0.774,0.781,-4.426,0.104,0.341,0.0,0.111,0.469,100.017,192000,4,63
Khud Se Zyada,Tanishk Bagchi,75,"['desi pop', 'modern bollywood']",Khud Se Zyada,0.765,0.793,-4.855,0.0385,0.251,1.87e-06,0.14,0.315,126.988,208701,4,41
Phir Se Ud Chala,Mohit Chauhan,69,"['desi pop', 'filmi', 'modern bollywood']",Rockstar,0.647,0.656,-8.632,0.0354,0.657,0.000163,0.343,0.453,119.965,268833,4,64
Vaaste,Dhvani Bhanushali,67,"['desi pop', 'modern bollywood']",Vaaste,0.444,0.479,-5.586,0.0436,0.454,0.0,0.095,0.315,89.892,196044,4,67
Leja Re,Tanishk Bagchi,75,"['desi pop', 'modern bollywood']",Leja Re,0.791,0.761,-4.414,0.06,0.558,0.0,0.107,0.449,100.031,205975,4,62
tere bina,Zaeden,58,"['desi pop', 'hindi indie', 'indian edm']",tere bina,0.889,0.341,-7.909,0.0424,0.117,3.7e-06,0.0734,0.942,118.003,157246,4,63
Sajna Ve,Vishal Mishra,65,"['desi pop', 'modern bollywood']",Sajna Ve,0.602,0.378,-8.706,0.0361,0.642,0.0,0.134,0.391,83.992,197857,4,52
Life Is Crazy,Shankar-Ehsaan-Loy,65,"['desi pop', 'filmi', 'modern bollywood']",Wake Up Sid (Original Motion Picture Soundtrack),0.638,0.812,-5.622,0.0392,0.321,2.34e-05,0.282,0.709,139.934,221800,4,49
Haaye Oye (feat. Ash King),QARAN,54,"['desi pop', 'modern bollywood']",Haaye Oye (feat. Ash King),0.633,0.727,-4.104,0.0383,0.173,0.0,0.153,0.543,123.959,200029,4,66
Tum Se Hi,Pritam,82,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']",Jab We Met,0.609,0.538,-7.842,0.0273,0.328,0.0,0.125,0.608,130.015,321225,4,72
